"colors","names","r","g","b"
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
"#E6DECF","Cream in my Coffee",230,222,207
"#5F4F48","Cabin Plank",95,79,72
"#3F4043","Dark Kettle Black",63,64,67
"#5FC8C0","Bayside",95,200,192
"#C1E4DF","Mystic Sea",193,228,223
"#FFE3AD","Spun Honey",255,227,173
"#E66C35","Island Orange",230,108,53
"#AE373F","Classic Red",174,55,63
"#CBC4E4","Sassy Lilac",203,196,228
"#CDCBC8","Filtered Shade",205,203,200
"#F2F0EA","Swiss Coffee",242,240,234
"#D0C1AE","Hopsack",208,193,174
"#514845","Brown Velvet",81,72,69
"#404145","New Black",64,65,69
"#38619B","Deep Space",56,97,155
"#CFE8DA","Icy Mint",207,232,218
"#F2E1BC","Homey Cream",242,225,188
"#F6A494","Coral Reef",246,164,148
"#BBB4B3","Winter Calm",187,180,179
"#D3EAE2","Mint Whisper",211,234,226
"#B1897C","Canyon Earth",177,137,124
"#B2BDC2","Grey Brook",178,189,194
"#E1DBBB","Tempered Sage",225,219,187
"#DACDBD","Desert Fortress",218,205,189
"#809B99","Secluded Garden",128,155,153
"#D4B7B8","Bombay Pink",212,183,184
"#CCAF98","Pale Powder",204,175,152
"#B6CCE5","Utterly Blue",182,204,229
"#E3D7D2","Crushed Out",227,215,210
"#9BA098","Secret Moss",155,160,152
"#C6C9CB","Gravity",198,201,203
"#F6F7F4","Ultra White",246,247,244
